"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 16 12:07:25 GMT 2024","Sat Nov 16 12:07:36 GMT 2024","10729","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProjectWithSameNameTest","User should not be able to create project with same name",""
"passed","Sat Nov 16 12:08:22 GMT 2024","Sat Nov 16 12:08:34 GMT 2024","11754","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreateBuildTypeConfigurationTest","User should be able to create build type configuration",""
"passed","Sat Nov 16 12:07:59 GMT 2024","Sat Nov 16 12:08:11 GMT 2024","12019","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeConfigurationWithSameNameTest","User should not be able to create build type configuration with same name",""
"passed","Sat Nov 16 12:07:36 GMT 2024","Sat Nov 16 12:07:46 GMT 2024","9759","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProjectWithoutNameTest","User should not be able to create project without name",""
"failed","Sat Nov 16 12:06:30 GMT 2024","Sat Nov 16 12:07:25 GMT 2024","54536","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreateProjectTest","User should be able to create project",""
"failed","Sat Nov 16 12:07:46 GMT 2024","Sat Nov 16 12:07:59 GMT 2024","12215","Surefire suite","Surefire test","com.example.teamcity.ui.RunBuildTypeTest","com.example.teamcity.ui.RunBuildTypeTest","userRunBuildTypeTest","User should be able to run build type with command line `Hello world!` ",""
"passed","Sat Nov 16 12:05:28 GMT 2024","Sat Nov 16 12:06:18 GMT 2024","50013","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 16 12:08:11 GMT 2024","Sat Nov 16 12:08:21 GMT 2024","10134","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCannotCreateBuildTypeConfigurationWithoutNameTest","User should not be able to create build type configuration without name",""
