"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 17:42:12 GMT 2024","Sun Nov 17 17:42:13 GMT 2024","229","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCopyProjectTest","User should be able to copy project",""
"passed","Sun Nov 17 17:42:14 GMT 2024","Sun Nov 17 17:42:14 GMT 2024","408","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userUpdateDataProjectTest","User should be able to update data to for project",""
"passed","Sun Nov 17 17:42:13 GMT 2024","Sun Nov 17 17:42:14 GMT 2024","113","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGetProjectDetailsByIdTest","User should be able to get details project",""
"passed","Sun Nov 17 17:41:07 GMT 2024","Sun Nov 17 17:41:08 GMT 2024","370","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreateBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Nov 17 17:39:53 GMT 2024","Sun Nov 17 17:40:46 GMT 2024","53268","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 17 17:42:14 GMT 2024","Sun Nov 17 17:42:14 GMT 2024","118","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGetProjectDetailsByNameTest","User should be able to get details project",""
"passed","Sun Nov 17 17:42:13 GMT 2024","Sun Nov 17 17:42:13 GMT 2024","144","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGeStatusArchivedProjectTest","User should be able to get data to status about archiving for project",""
"passed","Sun Nov 17 17:42:13 GMT 2024","Sun Nov 17 17:42:13 GMT 2024","132","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Sun Nov 17 17:41:03 GMT 2024","Sun Nov 17 17:41:06 GMT 2024","3098","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project ",""
"passed","Sun Nov 17 17:41:08 GMT 2024","Sun Nov 17 17:41:08 GMT 2024","344","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Nov 17 17:42:12 GMT 2024","Sun Nov 17 17:42:12 GMT 2024","97","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateTwoProjectWithTheSameIdTest","User cannot be able to create project same id project",""
"passed","Sun Nov 17 17:41:09 GMT 2024","Sun Nov 17 17:41:09 GMT 2024","456","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypeWithTheSameIdTest","User should not be able to create to build types with the same id",""
"passed","Sun Nov 17 17:42:13 GMT 2024","Sun Nov 17 17:42:13 GMT 2024","137","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeleteProjectById","User should be able to delete project by id",""
"broken","Sun Nov 17 17:41:09 GMT 2024","Sun Nov 17 17:42:12 GMT 2024","62542","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userRunBuildTypeTest","User should be able to run build type",""
"passed","Sun Nov 17 17:42:12 GMT 2024","Sun Nov 17 17:42:12 GMT 2024","205","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userArchivedProjectTest","User should be able to archived project",""
"passed","Sun Nov 17 17:42:13 GMT 2024","Sun Nov 17 17:42:13 GMT 2024","174","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeleteProjectByLocator","User should be able to delete project by locator",""
"passed","Sun Nov 17 17:41:06 GMT 2024","Sun Nov 17 17:41:07 GMT 2024","776","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateSubprojectWithoutPermissionTest","Project admin should not be able to create subproject with internal id _Root",""
