"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 09 07:28:40 GMT 2025","Sun Feb 09 07:28:43 GMT 2025","2779","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projectAdminCannotCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project ",""
"passed","Sun Feb 09 07:28:48 GMT 2025","Sun Feb 09 07:28:49 GMT 2025","627","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGeStatusArchivedProjectTest","User should be able to get data to status about archiving for project",""
"passed","Sun Feb 09 07:28:47 GMT 2025","Sun Feb 09 07:28:47 GMT 2025","35","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectWithEmptyNameTest","User should be able not create project with empty name",""
"passed","Sun Feb 09 07:28:39 GMT 2025","Sun Feb 09 07:28:40 GMT 2025","270","Surefire suite","Surefire test","com.example.teamcity.api.UserTest","com.example.teamcity.api.UserTest","userGetAllUserTest","The user should be able to get all users",""
"passed","Sun Feb 09 07:28:46 GMT 2025","Sun Feb 09 07:28:46 GMT 2025","303","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectBadRequestTest","User should be able to create project bad request",""
"passed","Sun Feb 09 07:28:52 GMT 2025","Sun Feb 09 07:28:52 GMT 2025","451","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreateBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Feb 09 07:28:52 GMT 2025","Sun Feb 09 07:28:52 GMT 2025","143","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Sun Feb 09 07:28:51 GMT 2025","Sun Feb 09 07:28:52 GMT 2025","142","Surefire suite","Surefire test","com.example.teamcity.api.BuildQueueTest","com.example.teamcity.api.BuildQueueTest","userGetQueueWithFieldParameterTest","User should be able get queue with fields parameter",""
"passed","Sun Feb 09 07:28:52 GMT 2025","Sun Feb 09 07:28:53 GMT 2025","240","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithFieldParameterTest","User should be able to create build type with field parameter",""
"passed","Sun Feb 09 07:28:53 GMT 2025","Sun Feb 09 07:28:53 GMT 2025","306","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Sun Feb 09 07:28:33 GMT 2025","Sun Feb 09 07:28:36 GMT 2025","3125","Surefire suite","Surefire test","com.example.teamcity.api.RoleTest","com.example.teamcity.api.RoleTest","userGetRoles","User should be able get all roles",""
"passed","Sun Feb 09 07:28:53 GMT 2025","Sun Feb 09 07:28:53 GMT 2025","306","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdTest","User should be able to create build type with id",""
"passed","Sun Feb 09 07:28:45 GMT 2025","Sun Feb 09 07:28:45 GMT 2025","254","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateTwoProjectWithTheSameIdTest","User cannot be able to create project same id project",""
"passed","Sun Feb 09 07:28:45 GMT 2025","Sun Feb 09 07:28:46 GMT 2025","562","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCopyProjectTest","User should be able to copy project",""
"passed","Sun Feb 09 07:28:36 GMT 2025","Sun Feb 09 07:28:37 GMT 2025","420","Surefire suite","Surefire test","com.example.teamcity.api.RoleTest","com.example.teamcity.api.RoleTest","userGetRolesByField","User should be able get all roles by fields",""
"passed","Sun Feb 09 07:28:55 GMT 2025","Sun Feb 09 07:28:55 GMT 2025","270","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userGetAllBuildTypesNotParameters","User should be able get all build types not parameters",""
"passed","Sun Feb 09 07:28:54 GMT 2025","Sun Feb 09 07:28:54 GMT 2025","295","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Sun Feb 09 07:28:47 GMT 2025","Sun Feb 09 07:28:48 GMT 2025","798","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeleteProjectById","User should be able to delete project by id",""
"passed","Sun Feb 09 07:28:55 GMT 2025","Sun Feb 09 07:28:55 GMT 2025","178","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userGetAllBuildTypesWithFields","User should be able get all build types with fields",""
"passed","Sun Feb 09 07:28:54 GMT 2025","Sun Feb 09 07:28:54 GMT 2025","259","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithLocatorTest","User should be able to delete build type with locator",""
"passed","Sun Feb 09 07:28:44 GMT 2025","Sun Feb 09 07:28:45 GMT 2025","431","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userArchivedProjectTest","User should be able to archived project",""
"passed","Sun Feb 09 07:28:55 GMT 2025","Sun Feb 09 07:28:55 GMT 2025","263","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userGetAllBuildTypes","User should be able get all build types",""
"passed","Sun Feb 09 07:28:56 GMT 2025","Sun Feb 09 07:28:59 GMT 2025","3571","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userRunBuildTypeTest","User should be able to run build type",""
"passed","Sun Feb 09 07:28:50 GMT 2025","Sun Feb 09 07:28:50 GMT 2025","224","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGetProjectDetailsByIdTest","User should be able to get details project",""
"passed","Sun Feb 09 07:28:49 GMT 2025","Sun Feb 09 07:28:49 GMT 2025","268","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGetProjectByFieldParameterTest","User should be able to get project by fields parameter",""
"passed","Sun Feb 09 07:28:37 GMT 2025","Sun Feb 09 07:28:39 GMT 2025","2503","Surefire suite","Surefire test","com.example.teamcity.api.UserTest","com.example.teamcity.api.UserTest","userCreatesUserWithFieldParameterTest","User should be able create user with the fields parameter",""
