"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 20 12:46:54 GMT 2024","Wed Nov 20 12:46:54 GMT 2024","420","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreateBuildTypeTest","Project admin should be able to create build type for their project",""
"broken","Wed Nov 20 12:46:55 GMT 2024","Wed Nov 20 12:47:58 GMT 2024","62201","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userRunBuildTypeTest","User should be able to run build type",""
"passed","Wed Nov 20 12:46:51 GMT 2024","Wed Nov 20 12:46:53 GMT 2024","2156","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project ",""
"passed","Wed Nov 20 12:47:58 GMT 2024","Wed Nov 20 12:47:58 GMT 2024","162","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCopyProjectTest","User should be able to copy project",""
"passed","Wed Nov 20 12:47:58 GMT 2024","Wed Nov 20 12:47:58 GMT 2024","102","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCannotCreateTwoProjectWithTheSameIdTest","User cannot be able to create project same id project",""
"passed","Wed Nov 20 12:47:58 GMT 2024","Wed Nov 20 12:47:58 GMT 2024","101","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userArchivedProjectTest","User should be able to archived project",""
"passed","Wed Nov 20 12:46:55 GMT 2024","Wed Nov 20 12:46:55 GMT 2024","326","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypeWithTheSameIdTest","User should not be able to create to build types with the same id",""
"passed","Wed Nov 20 12:47:59 GMT 2024","Wed Nov 20 12:47:59 GMT 2024","92","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGetProjectDetailsByIdTest","User should be able to get details project",""
"passed","Wed Nov 20 12:47:59 GMT 2024","Wed Nov 20 12:47:59 GMT 2024","215","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userUpdateDataProjectTest","User should be able to update data to for project",""
"passed","Wed Nov 20 12:47:58 GMT 2024","Wed Nov 20 12:47:59 GMT 2024","102","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeleteProjectByLocator","User should be able to delete project by locator",""
"passed","Wed Nov 20 12:47:58 GMT 2024","Wed Nov 20 12:47:58 GMT 2024","55","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Wed Nov 20 12:46:55 GMT 2024","Wed Nov 20 12:46:55 GMT 2024","289","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"failed","Wed Nov 20 12:46:34 GMT 2024","Wed Nov 20 12:46:36 GMT 2024","2168","Surefire suite","Surefire test","com.example.teamcity.api.AuthAgentTest","com.example.teamcity.api.AuthAgentTest","authAgentTest","authAgentTest",""
"passed","Wed Nov 20 12:47:59 GMT 2024","Wed Nov 20 12:47:59 GMT 2024","109","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGeStatusArchivedProjectTest","User should be able to get data to status about archiving for project",""
"passed","Wed Nov 20 12:47:58 GMT 2024","Wed Nov 20 12:47:58 GMT 2024","121","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userDeleteProjectById","User should be able to delete project by id",""
"passed","Wed Nov 20 12:46:53 GMT 2024","Wed Nov 20 12:46:54 GMT 2024","563","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateSubprojectWithoutPermissionTest","Project admin should not be able to create subproject with internal id _Root",""
"passed","Wed Nov 20 12:47:59 GMT 2024","Wed Nov 20 12:47:59 GMT 2024","85","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userGetProjectDetailsByNameTest","User should be able to get details project",""
